"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/using/TOC.md","","","","","",""
"help/using/dispatcher.md","Dispatcher Overview","This article provides a general overview of Dispatcher.","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-install.md","Installing Dispatcher","Learn how to install the Dispatcher module on Microsoft Internet Information Server, Apache Web Server and Sun Java Web Server-iPlanet.","Dispatcher","Administration","Administrator",""
"help/using/security-checklist.md","The Dispatcher Security Checklist","A security checklist that should be completed before going on production.","Dispatcher","Administration","Administrator",""
"help/using/release-notes.md","AEM Dispatcher Release Notes","Release notes specific to Adobe Experience Manager Dispatcher","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-configuration.md","Configuring Dispatcher","Learn how to configure Dispatcher.","Dispatcher","Administration","Administrator",""
"help/using/page-invalidate.md","Invalidating Cached Pages From AEM","Learn how to configure the interaction between Dispatcher and AEM to ensure effective cache management.","Dispatcher","Administration","Administrator",""
"help/using/permissions-cache.md","Caching Secured Content","Learn how permission-sensitive caching works in Dispatcher.","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-domains.md","Using Dispatcher with Multiple Domains ","Learn how to use Dispatcher to process page requests in multiple web domains.","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-ssl.md","Using SSL with Dispatcher","Learn how to configure Dispatcher to communicate with AEM using SSL connections.","Dispatcher","Administration","Administrator",""
"help/using/configuring-dispatcher-to-prevent-csrf.md","Configuring Dispatcher to Prevent CSRF Attacks","Learn how to configure AEM Dispatcher to prevent Cross-Site Request Forgery attacks.","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-troubleshooting.md","Troubleshooting Dispatcher Problems","Learn to troubleshoot Dispatcher issues.","Dispatcher","Administration","Administrator",""
"help/using/dispatcher-faq.md","Dispatcher top issues","Top issues for AEM Dispatcher","Dispatcher","Administration","Administrator",""
